2 T-54-3M: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
1 T-54B: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 T-55A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
3 T-62 Obr. 1967: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
2 T-62 Obr. 1972: 1 destroyed, 0 damaged, 1 abandoned, 0 captured
105 T-62M: 56 destroyed, 8 damaged, 7 abandoned, 34 captured
17 T-62M Obr. 2022: 12 destroyed, 2 damaged, 3 abandoned, 0 captured
28 T-62MV: 13 destroyed, 1 damaged, 4 abandoned, 10 captured
9 T-62MV Obr. 2022: 4 destroyed, 1 damaged, 4 abandoned, 0 captured
13 Unknown T-62: 10 destroyed, 0 damaged, 3 abandoned, 0 captured
3 T-64A: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
91 T-64BV: 71 destroyed, 10 damaged, 6 abandoned, 4 captured
2 T-64BVK: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
4 T-72 'Ural': 2 destroyed, 0 damaged, 2 abandoned, 0 captured
45 T-72A: 28 destroyed, 1 damaged, 7 abandoned, 9 captured
22 T-72AV: 16 destroyed, 0 damaged, 2 abandoned, 4 captured
348 T-72B: 248 destroyed, 8 damaged, 27 abandoned, 65 captured
108 T-72B Obr. 1989: 72 destroyed, 4 damaged, 13 abandoned, 19 captured
113 T-72B Obr. 2022: 76 destroyed, 3 damaged, 33 abandoned, 1 captured
31 T-72BA: 13 destroyed, 2 damaged, 0 abandoned, 16 captured
372 T-72B3: 246 destroyed, 25 damaged, 25 abandoned, 76 captured
3 T-72B3 Obr. 2014: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
280 T-72B3 Obr. 2016: 160 destroyed, 6 damaged, 8 abandoned, 106 captured
60 T-72B3 Obr. 2022: 48 destroyed, 3 damaged, 8 abandoned, 1 captured
154 Unknown T-72: 122 destroyed, 15 damaged, 14 abandoned, 3 captured
4 T-80B: 3 destroyed, 0 damaged, 1 abandoned, 0 captured
595 T-80BV: 426 destroyed, 21 damaged, 69 abandoned, 79 captured
4 T-80BVK: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
40 T-80BV Obr. 2022: 36 destroyed, 0 damaged, 4 abandoned, 0 captured
99 T-80U: 46 destroyed, 1 damaged, 6 abandoned, 46 captured
2 T-80UK: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
7 T-80UE-1: 3 destroyed, 0 damaged, 0 abandoned, 4 captured
1 T-80UM2: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
130 T-80BVM: 83 destroyed, 6 damaged, 10 abandoned, 31 captured
30 T-80BVM Obr. 2022: 22 destroyed, 0 damaged, 5 abandoned, 3 captured
21 Unknown T-80: 11 destroyed, 2 damaged, 6 abandoned, 2 captured
41 T-90A: 27 destroyed, 0 damaged, 4 abandoned, 10 captured
