2 M-55S: 1 destroyed, 1 damaged, 0 abandoned, 0 captured
2 T-64A: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
4 T-64B: 2 destroyed, 0 damaged, 0 abandoned, 2 captured
366 T-64BV: 267 destroyed, 31 damaged, 19 abandoned, 49 captured
126 T-64BV Zr. 2017: 81 destroyed, 5 damaged, 9 abandoned, 31 captured
1 T-64BVK: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
10 T-64B1M: 3 destroyed, 0 damaged, 0 abandoned, 7 captured
22 T-64BM 'Bulat': 16 destroyed, 3 damaged, 0 abandoned, 3 captured
4 T-64BM2 'Bulat': 3 destroyed, 1 damaged, 0 abandoned, 0 captured
2 Unknown T-64: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
10 T-72 'Ural': 7 destroyed, 1 damaged, 1 abandoned, 1 captured
99 T-72M/M1(R): 77 destroyed, 4 damaged, 9 abandoned, 9 captured
12 T-72EA: 9 destroyed, 2 damaged, 0 abandoned, 1 captured
64 T-72AV: 45 destroyed, 2 damaged, 9 abandoned, 8 captured
48 T-72B: 40 destroyed, 2 damaged, 0 abandoned, 6 captured
23 T-72AMT: 13 destroyed, 1 damaged, 2 abandoned, 7 captured
3 T-72AMT Zr.2022: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
11 PT-91 Twardy: 7 destroyed, 1 damaged, 3 abandoned, 0 captured
31 Unknown T-72: 29 destroyed, 2 damaged, 0 abandoned, 0 captured
74 T-80BV: 55 destroyed, 4 damaged, 2 abandoned, 13 captured
1 T-80UD: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
12 Leopard1A5: 8 destroyed, 1 damaged, 3 abandoned, 0 captured
25 Leopard 2A4: 13 destroyed, 5 damaged, 6 abandoned, 1 captured
13 Leopard 2A6: 7 destroyed, 4 damaged, 2 abandoned, 0 captured
8 Stridsvagn 122: 1 destroyed, 2 damaged, 5 abandoned, 0 captured
2 Challenger 2: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
19 M1A1 SA Abrams: 8 destroyed, 1 damaged, 9 abandoned, 1 captured
78 Unknown tank: 68 destroyed, 5 damaged, 5 abandoned, 0 captured
1 BMPT Azovets: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
6 AMX-10 RC(R): 4 destroyed, 0 damaged, 1 abandoned, 1 captured
59 BRM-1(K) reconnaissance vehicle: 40 destroyed, 2 damaged, 4 abandoned, 13 captured
78 BRDM-2: 50 destroyed, 1 damaged, 0 abandoned, 27 captured
1 BRDM-2T(A): 0 destroyed, 0 damaged, 0 abandoned, 1 captured
65 BRDM-2L1: 42 destroyed, 1 damaged, 2 abandoned, 20 captured
11 BRDM-2RKhb chemical reconnaissance vehicle: 9 destroyed, 0 damaged, 0 abandoned, 2 captured
2 BRDM-2 'VEPR': 2 destroyed, 0 damaged, 0 abandoned, 0 captured
81 MT-LB: 69 destroyed, 3 damaged, 1 abandoned, 8 captured
14 MT-LB with ZU-23 ¿¿ gun: 10 destroyed, 2 damaged, 0 abandoned, 2 captured
4 MT-LB-AT: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
