2 T-64A: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
3 T-64B: 1 destroyed, 0 damaged, 0 abandoned, 2 captured
227 T-64BV: 149 destroyed, 18 damaged, 8 abandoned, 52 captured
67 T-64BV Zr. 2017: 33 destroyed, 2 damaged, 3 abandoned, 29 captured
9 T-64B1M: 2 destroyed, 0 damaged, 0 abandoned, 7 captured
12 T-64BM 'Bulat': 6 destroyed, 2 damaged, 0 abandoned, 4 captured
5 T-64BM2 'Bulat': 4 destroyed, 1 damaged, 0 abandoned, 0 captured
2 Unknown T-64: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 T-72 'Ural': 1 destroyed, 1 damaged, 0 abandoned, 1 captured
46 T-72M/M1(R): 33 destroyed, 1 damaged, 5 abandoned, 7 captured
1 T-72EA: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
24 T-72AV: 13 destroyed, 2 damaged, 3 abandoned, 6 captured
39 T-72B: 29 destroyed, 2 damaged, 0 abandoned, 8 captured
16 T-72AMT: 7 destroyed, 1 damaged, 2 abandoned, 6 captured
6 Unknown T-72: 5 destroyed, 1 damaged, 0 abandoned, 0 captured
41 T-80BV: 21 destroyed, 3 damaged, 2 abandoned, 15 captured
2 Leopard 2A4: 1 destroyed, 1 damaged, 0 abandoned, 0 captured
3 Leopard 2A6: 1 destroyed, 0 damaged, 2 abandoned, 0 captured
31 Unknown tank: 31 destroyed, 0 damaged, 0 abandoned, 0 captured
2 AMX-10 RC(R): 0 destroyed, 0 damaged, 2 abandoned, 0 captured
37 BRM-1(K) reconnaissance vehicle: 21 destroyed, 1 damaged, 3 abandoned, 12 captured
61 BRDM-2: 34 destroyed, 0 damaged, 0 abandoned, 27 captured
42 BRDM-2L1: 24 destroyed, 1 damaged, 0 abandoned, 17 captured
11 BRDM-2RKhb chemical reconnaissance vehicle: 9 destroyed, 0 damaged, 0 abandoned, 2 captured
2 Vepr: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
52 MT-LB: 42 destroyed, 1 damaged, 1 abandoned, 8 captured
8 MT-LB with ZU-23 ¿¿ gun: 6 destroyed, 0 damaged, 0 abandoned, 2 captured
1 MT-LB with BPU-1 turret: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 BTS-4 ARV : 0 destroyed, 0 damaged, 0 abandoned, 1 captured
5 MT-LBu: 2 destroyed, 0 damaged, 0 abandoned, 3 captured
19 MT-LB-S Ambulance: 13 destroyed, 0 damaged, 1 abandoned, 5 captured
2 BMM-70 Ambulance: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 BMM-4C Ambulance: 1 destroyed, 0 damaged, 0 abandoned, 2 captured
42 Unknown AFV: 42 destroyed, 0 damaged, 0 abandoned, 0 captured
267 BMP-1(P): 194 destroyed, 6 damaged, 19 abandoned, 48 captured
1 BMP-1TS: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 BMP-1U 'Shkval': 0 destroyed, 0 damaged, 0 abandoned, 1 captured
2 BWP-1: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
6 Pbv 501A: 5 destroyed, 0 damaged, 0 abandoned, 1 captured
5 BVP M-80A: 3 destroyed, 2 damaged, 0 abandoned, 0 captured
